OBJECTID,CSA2010,pop,poverty
1,Allendale/Irvington/S. Hilton,16217,21.28264805
2,Beechfield/Ten Hills/West Hills,12264,11.58984636
3,Belair-Edison,17416,19.59215281
4,Brooklyn/Curtis Bay/Hawkins Point,14243,26.3337469
5,Canton,8100,2.260273973
6,Cedonia/Frankford,23557,15.10777521
7,Cherry Hill,8202,41.05090312
8,Chinquapin Park/Belvedere,7756,10.16324381
9,Claremont/Armistead,8231,23.58634743
10,Clifton-Berea,9874,29.24208145
11,Cross-Country/Cheswolde,13034,7.147862649
12,Dickeyville/Franklintown,4101,17.69547325
13,Dorchester/Ashburton,11786,15.35493827
14,Downtown/Seton Hill,6446,7.086614173
15,Edmondson Village,7900,11.05743425
16,Fells Point,9039,3.791174643
17,Forest Park/Walbrook,9849,18.94293732
18,Glen-Fallstaff,14914,20.2957379
19,Greater Charles Village/Barclay,16391,25.95462092
20,Greater Govans,10681,19.2692475
21,Greater Mondawmin,9322,17.17226436
22,Greater Roland Park/Poplar Hill,7377,3.634361233
23,Greater Rosemont,19259,23.89354932
24,Hamilton,13002,10.9202454
25,Harford/Echodale,16839,8.983384962
26,Highlandtown,7250,9.009009009
27,Howard Park/West Arlington,10873,17.42254154
28,Inner Harbor/Federal Hill,12855,2.745256359
29,Lauraville,12273,9.670637701
30,Loch Raven,15311,11.56113817
31,Madison/East End,7781,32.37410072
32,Medfield/Hampden/Woodberry/Remington,17388,7.394156231
33,Midway/Coldstream,9624,23.63737486
34,Morrell Park/Violetville,8964,14.52879581
35,Mount Washington/Coldspring,5168,3.789836348
36,North Baltimore/Guilford/Homeland,17464,5.725567621
37,Northwood,16643,7.604448452
38,Orangeville/East Highlandtown,9131,13.68267831
39,Patterson Park North & East,14549,22.83290299
40,Penn North/Reservoir Hill,9668,29.42453855
41,Pimlico/Arlington/Hilltop,11816,19
42,Poppleton/The Terraces/Hollins Market,5086,47.65458422
43,Sandtown-Winchester/Harlem Park,14896,31.82289865
44,South Baltimore,6406,0.811907984
45,Southeastern,6260,29.4488189
46,Southern Park Heights,13284,34.87052146
47,Southwest Baltimore,17885,36.01598174
48,The Waverlies,7753,18.34034877
49,Washington Village/Pigtown,5503,24.78873239
50,Westport/Mount Winans/Lakeland,7119,19.85018727
51,Oldtown/Middle East,10021,42.5
52,Harbor East/Little Italy,5407,31.06134372
53,Upton/Druid Heights,10342,44.15
54,Midtown,15020,8.064516129
55,Greenmount East,8184,24.18006431