"","geocoded_address","event_date","year","CSA2010"
"1","2300 E MADISON ST, BALTIMORE, MD, 21205","1/1/16",2016,"Madison/East End"
"2","6401 PULASKI HWY, BALTIMORE, MD, 21205","1/6/16",2016,"Orangeville/East Highlandtown"
"3","5900 WINTHROPE AVE, BALTIMORE, MD, 21206","1/7/16",2016,"Hamilton"
"4","300 W LANVALE ST, BALTIMORE, MD, 21217","1/7/16",2016,"Midtown"
"5","1100 W SARATOGA ST, BALTIMORE, MD, 21223","1/7/16",2016,"Poppleton/The Terraces/Hollins Market"
"6","500 E NORTH AVE, BALTIMORE, MD, 21202","1/10/16",2016,"Midway/Coldstream"
"7","3300 OLD YORK ROAD, MD, 21218","1/10/16",2016,"The Waverlies"
"8","5600 HADDON AVE, MD, 21207","1/12/16",2016,"Howard Park/West Arlington"
"9","200 N ROSE ST, BALTIMORE, MD, 21224","1/15/16",2016,"Patterson Park North & East"
"10","3400 FAIRVIEW AVE, BALTIMORE, MD, 21216","1/18/16",2016,"Forest Park/Walbrook"
"11","9 S CULVER ST, BALTIMORE, MD, 21229","1/19/16",2016,"Allendale/Irvington/S. Hilton"
"12","400 ROUNDVIEW ROAD, MD, 21225","1/19/16",2016,"Cherry Hill"
"13","1 N HIGHLAND AVE, BALTIMORE, MD, 21224","1/26/16",2016,"Orangeville/East Highlandtown"
"14","1200 PATTERSON PARK AVE, MD, 21213","1/29/16",2016,"Clifton-Berea"
"15","1500 PENTRIDGE ROAD, BALTIMORE, MD, 21239","2/1/16",2016,"Northwood"
"16","700 N ROSE ST, BALTIMORE, MD, 21205","2/3/16",2016,"Madison/East End"
"17","1 SOUTH ST, BALTIMORE, MD, 21202","2/4/16",2016,"Downtown/Seton Hill"
"18","3900 PENHURST AVE, MD, 21215","2/5/16",2016,"Dorchester/Ashburton"
"19","1000 E NORTH AVE, BALTIMORE, MD, 21202","2/5/16",2016,"Midway/Coldstream"
"20","700 N MILTON AVE, BALTIMORE, MD, 21205","2/8/16",2016,"Madison/East End"
"21","500 S BOND ST, BALTIMORE, MD, 21231","2/10/16",2016,"Fells Point"
"22","2500 WINCHESTER ST, BALTIMORE, MD, 21216","2/10/16",2016,"Greater Rosemont"
"23","1900 CLIFTON AVE, MD, 21217","2/11/16",2016,"Greater Mondawmin"
"24","2100 W FAYETTE ST, BALTIMORE, MD, 21223","2/12/16",2016,"Southwest Baltimore"
"25","1900 E 31ST ST, BALTIMORE, MD, 21218","2/15/16",2016,"Midway/Coldstream"
"26","1900 N BENTALOU ST, BALTIMORE, MD, 21216","2/17/16",2016,"Greater Mondawmin"
"27","2700 PELHAM AVE, BALTIMORE, MD, 21213","2/18/16",2016,"Belair-Edison"
"28","2300 AIKEN ST, BALTIMORE, MD, 21218","2/19/16",2016,"Midway/Coldstream"
"29","2300 W LAFAYETTE AVE, BALTIMORE, MD, 21216","2/20/16",2016,"Greater Rosemont"
"30","2300 W LAFAYETTE AVE, BALTIMORE, MD, 21216","2/20/16",2016,"Greater Rosemont"
"31","700 W LAFAYETTE AVE, BALTIMORE, MD, 21217","2/21/16",2016,"Upton/Druid Heights"
"32","2300 DENISON ST, MD, 21216","2/21/16",2016,"Forest Park/Walbrook"
"33","1700 HILTON ST, MD, 21216","2/21/16",2016,"Greater Rosemont"
"34","1000 E PATAPSCO AVE, BALTIMORE, MD, 21225","2/23/16",2016,"Brooklyn/Curtis Bay/Hawkins Point"
"35","2500 W LANVALE ST, BALTIMORE, MD, 21216","2/25/16",2016,"Greater Rosemont"
"36","800 E 22ND ST, BALTIMORE, MD, 21218","2/26/16",2016,"Midway/Coldstream"
"37","2800 W LAFAYETTE AVE, BALTIMORE, MD, 21216","2/29/16",2016,"Greater Rosemont"
"38","1900 W BALTIMORE ST, BALTIMORE, MD, 21223","2/29/16",2016,"Southwest Baltimore"
"39","2331 N FULTON AVE, BALTIMORE, MD, 21217","3/3/16",2016,"Penn North/Reservoir Hill"
"40","500 ORCHARD ST, BALTIMORE, MD, 21201","3/6/16",2016,"Downtown/Seton Hill"
"41","2930 INDEPENDENCE ST, BALTIMORE, MD, 21218","3/10/16",2016,"The Waverlies"
"42","2300 E CHASE ST, BALTIMORE, MD, 21213","3/12/16",2016,"Clifton-Berea"
"43","1500 N GILMOR ST, BALTIMORE, MD, 21217","3/13/16",2016,"Sandtown-Winchester/Harlem Park"
"44","2400 E MONUMENT ST, BALTIMORE, MD, 21205","3/15/16",2016,"Madison/East End"
"45","800 DARTMOUTH ROAD, BALTIMORE, MD, 21212","3/16/16",2016,"Chinquapin Park/Belvedere"
"46","2700 E PRESTON ST, BALTIMORE, MD, 21213","3/16/16",2016,"Clifton-Berea"
"47","2100 E NORTH AVE, BALTIMORE, MD, 21213","3/17/16",2016,"Clifton-Berea"
"48","1200 MCCULLOH ST, BALTIMORE, MD, 21217","3/18/16",2016,"Upton/Druid Heights"
"49","3400 SAINT AMBROSE AVE, BALTIMORE, MD, 21215","3/19/16",2016,"Southern Park Heights"
"50","4500 MONUMENT ST, MD, 21205","3/20/16",2016,"Orangeville/East Highlandtown"
"51","400 N BOULDIN ST, BALTIMORE, MD, 21224","3/22/16",2016,"Patterson Park North & East"
"52","1600 MAY CT, BALTIMORE, MD, 21223","3/22/16",2016,"Oldtown/Middle East"
"53","600 N AUGUSTA AVE, BALTIMORE, MD, 21229","3/24/16",2016,"Edmondson Village"
"54","1300 BOYD ST, MD, 21223","3/27/16",2016,"Southwest Baltimore"
"55","1800 E LAFAYETTE AVE, BALTIMORE, MD, 21213","3/29/16",2016,"Greenmount East"
"56","300 E 22ND ST, BALTIMORE, MD, 21218","3/30/16",2016,"Greater Charles Village/Barclay"
"57","1500 LAKESIDE AVE, BALTIMORE, MD, 21218","3/31/16",2016,"Northwood"
"58","2800 BOARMAN AVE, BALTIMORE, MD, 21215","4/3/16",2016,"Southern Park Heights"
"59","1049 HILLEN ST, BALTIMORE, MD, 21202","4/6/16",2016,"Oldtown/Middle East"
"60","2100 W PRATT ST, BALTIMORE, MD, 21223","4/7/16",2016,"Southwest Baltimore"
"61","5400 NELSON AVE, BALTIMORE, MD, 21215","4/8/16",2016,"Pimlico/Arlington/Hilltop"
"62","3000 CHELSEA TER, BALTIMORE, MD, 21216","4/8/16",2016,"Forest Park/Walbrook"
"63","1400 AISQUITH ST, BALTIMORE, MD, 21202","4/8/16",2016,"Greenmount East"
"64","3800 HARLEM AVE, BALTIMORE, MD, 21229","4/11/16",2016,"Edmondson Village"
"65","1500 PENNSYLVANIA AVE, BALTIMORE, MD, 21217","4/11/16",2016,"Upton/Druid Heights"
"66","3400 ROUND ROAD, BALTIMORE, MD, 21225","4/12/16",2016,"Cherry Hill"
"67","3101 DUDLEY AVE, BALTIMORE, MD, 21213","4/12/16",2016,"Belair-Edison"
"68","1500 WASHINGTON BLVD, BALTIMORE, MD, 21230","4/16/16",2016,"Washington Village/Pigtown"
"69","600 DUNCAN ST, MD, 21205","4/17/16",2016,"Madison/East End"
"70","1200 BONAPARTE AVE, BALTIMORE, MD, 21218","4/18/16",2016,"Midway/Coldstream"
"71","4000 WILSBY AVE, BALTIMORE, MD, 21218","4/19/16",2016,"Greater Govans"
"72","3600 ESTHER PL, BALTIMORE, MD, 21224","4/19/16",2016,"Orangeville/East Highlandtown"
"73","3400 REISTERSTOWN ROAD, MD, 21215","4/22/16",2016,"Southern Park Heights"
"74","1400 MYRTLE AVE, MD, 21217","4/24/16",2016,"Upton/Druid Heights"
"75","x=-76.598494, y=39.292894","4/24/16",2016,"Oldtown/Middle East"
"76","800 ASHBURTON ST, MD, 21216","4/25/16",2016,"Greater Rosemont"
"77","5400 PURDUE AVE, MD, 21239","4/25/16",2016,"Loch Raven"
"78","2500 JEFFERSON ST, BALTIMORE, MD, 21205","4/25/16",2016,"Madison/East End"
"79","500 N LOUDON AVE, BALTIMORE, MD, 21229","4/26/16",2016,"Allendale/Irvington/S. Hilton"
"80","4700 LIBERTY HEIGHTS AVE, BALTIMORE, MD, 21207","4/26/16",2016,"Howard Park/West Arlington"
"81","3200 E BALTIMORE ST, BALTIMORE, MD, 21224","4/26/16",2016,"Patterson Park North & East"
"82","2700 ASHLAND AVE, BALTIMORE, MD, 21205","4/26/16",2016,"Madison/East End"
"83","4700 HADDON AVE, MD, 21207","4/28/16",2016,"Howard Park/West Arlington"
"84","4700 GWYNN OAK AVE, MD, 21207","4/28/16",2016,"Howard Park/West Arlington"
"85","2400 E LAFAYETTE AVE, BALTIMORE, MD, 21213","4/28/16",2016,"Clifton-Berea"
"86","900 E PATAPSCO AVE, BALTIMORE, MD, 21225","5/2/16",2016,"Brooklyn/Curtis Bay/Hawkins Point"
"87","6600 REISTERSTOWN RD, MD, 21215","5/3/16",2016,"Glen-Fallstaff"
"88","4500 GARDEN DR, BALTIMORE, MD, 21215","5/4/16",2016,"Southern Park Heights"
"89","1500 N DURHAM ST, BALTIMORE, MD, 21213","5/4/16",2016,"Greenmount East"
"90","5700 JONQUIL AVE, BALTIMORE, MD, 21215","5/6/16",2016,"Glen-Fallstaff"
"91","3400 ROUND ROAD, BALTIMORE, MD, 21225","5/7/16",2016,"Cherry Hill"
"92","600 N DECKER AVE, BALTIMORE, MD, 21205","5/8/16",2016,"Madison/East End"
"93","1500 N SMALLWOOD ST, BALTIMORE, MD, 21216","5/10/16",2016,"Greater Rosemont"
"94","1700 MANOR AVE, MD, 21224","5/12/16",2016,"Southeastern"
"95","4200 SHELDON AVE, BALTIMORE, MD, 21206","5/17/16",2016,"Cedonia/Frankford"
"96","400 W SARATOGA ST, BALTIMORE, MD, 21201","5/20/16",2016,"Downtown/Seton Hill"
"97","3500 HAYWARD AVE, BALTIMORE, MD, 21215","5/22/16",2016,"Pimlico/Arlington/Hilltop"
"98","200 S STRICKER ST, BALTIMORE, MD, 21223","5/22/16",2016,"Southwest Baltimore"
"99","5400 NELSON AVE, BALTIMORE, MD, 21215","5/23/16",2016,"Pimlico/Arlington/Hilltop"
"100","500 E PATAPSCO AVE, BALTIMORE, MD, 21225","5/25/16",2016,"Brooklyn/Curtis Bay/Hawkins Point"
"101","400 FORREST ST, BALTIMORE, MD, 21202","5/25/16",2016,"Oldtown/Middle East"
"102","2400 FREDERICK AVE, BALTIMORE, MD, 21223","5/25/16",2016,"Southwest Baltimore"
"103","1200 N CAREY ST, BALTIMORE, MD, 21217","5/25/16",2016,"Sandtown-Winchester/Harlem Park"
"104","1 GILMOR ST, MD, 21223","5/25/16",2016,"Southwest Baltimore"
"105","4200 WILLSHIRE AVE, MD, 21206","5/26/16",2016,"Cedonia/Frankford"
"106","2700 THE ALAMEDA, BALTIMORE, MD, 21218","5/26/16",2016,"Midway/Coldstream"
"107","2700 THE ALAMEDA, BALTIMORE, MD, 21218","5/26/16",2016,"Midway/Coldstream"
"108","1600 E OLIVER ST, BALTIMORE, MD, 21213","5/26/16",2016,"Greenmount East"
"109","2900 ROSALIND AVE, MD, 21215","5/27/16",2016,"Southern Park Heights"
"110","1600 W NORTH AVE, BALTIMORE, MD, 21217","5/27/16",2016,"Greater Mondawmin"
"111","500 S BROADWAY, BALTIMORE, MD, 21231","5/28/16",2016,"Fells Point"
"112","2200 BARCLAY ST, MD, 21218","5/31/16",2016,"Greater Charles Village/Barclay"
"113","900 ALLENDALE ST, BALTIMORE, MD, 21229","6/3/16",2016,"Edmondson Village"
"114","700 N MONROE ST, BALTIMORE, MD, 21217","6/3/16",2016,"Sandtown-Winchester/Harlem Park"
"115","200 FREMONT AVE, MD, 21201","6/4/16",2016,"Poppleton/The Terraces/Hollins Market"
"116","1500 SPRUCE ST, BALTIMORE, MD, 21226","6/6/16",2016,"Brooklyn/Curtis Bay/Hawkins Point"
"117","1500 SPRUCE ST, BALTIMORE, MD, 21226","6/6/16",2016,"Brooklyn/Curtis Bay/Hawkins Point"
"118","4300 FERNHILL AVE, BALTIMORE, MD, 21215","6/8/16",2016,"Howard Park/West Arlington"
"119","1300 JAMES ST, BALTIMORE, MD, 21223","6/8/16",2016,"Washington Village/Pigtown"
"120","1900 EDMONDSON AVE, BALTIMORE, MD, 21223","6/9/16",2016,"Sandtown-Winchester/Harlem Park"
"121","100 N SMALLWOOD ST, BALTIMORE, MD, 21223","6/9/16",2016,"Southwest Baltimore"
"122","400 E 22ND ST, BALTIMORE, MD, 21218","6/10/16",2016,"Greater Charles Village/Barclay"
"123","2500 KEYWORTH AVE, BALTIMORE, MD, 21215","6/10/16",2016,"Southern Park Heights"
"124","900 PENNSYLVANIA AVE, BALTIMORE, MD, 21201","6/11/16",2016,"Upton/Druid Heights"
"125","1 SHIPLEY ST, MD, 21223","6/11/16",2016,"Southwest Baltimore"
"126","3500 BREHMS LANE, MD, 21213","6/13/16",2016,"Belair-Edison"
"127","1500 GORSUCH AVE, BALTIMORE, MD, 21218","6/14/16",2016,"Midway/Coldstream"
"128","1300 GLENWOOD AVE, MD, 21239","6/21/16",2016,"Northwood"
"129","4000 WILSBY AVE, BALTIMORE, MD, 21218","6/22/16",2016,"Greater Govans"
"130","1700 PRESSTMAN ST, BALTIMORE, MD, 21217","6/22/16",2016,"Sandtown-Winchester/Harlem Park"
"131","6200 FAIRDEL AVE, BALTIMORE, MD, 21206","6/23/16",2016,"Hamilton"
"132","1 N HILTON ST, BALTIMORE, MD, 21229","6/24/16",2016,"Allendale/Irvington/S. Hilton"
"133","4600 HARFORD ROAD, BALTIMORE, MD, 21214","6/25/16",2016,"Lauraville"
"134","3400 RAVENWOOD AVE, BALTIMORE, MD, 21213","6/26/16",2016,"Belair-Edison"
"135","3400 ELMORA AVE, BALTIMORE, MD, 21213","6/26/16",2016,"Belair-Edison"
"136","600 N ELLWOOD AVE, BALTIMORE, MD, 21205","6/28/16",2016,"Madison/East End"
"137","5600 SINCLAIR LANE, MD, 21206","6/28/16",2016,"Claremont/Armistead"
"138","1800 EDMONDSON AVE, MD, 21223","6/28/16",2016,"Sandtown-Winchester/Harlem Park"
"139","4500 ROGERS AVE, MD, 21215","6/30/16",2016,"Howard Park/West Arlington"
"140","800 KEVIN ROAD, BALTIMORE, MD, 21229","7/1/16",2016,"Edmondson Village"
"141","2200 POPLAR GROVE ST, BALTIMORE, MD, 21216","7/3/16",2016,"Greater Mondawmin"
"142","600 LAURENS ST, MD, 21217","7/5/16",2016,"Upton/Druid Heights"
"143","300 S HERRING CT, BALTIMORE, MD, 21231","7/5/16",2016,"Harbor East/Little Italy"
"144","2300 ANOKA AVE, BALTIMORE, MD, 21215","7/6/16",2016,"Greater Mondawmin"
"145","100 N PAYSON ST, BALTIMORE, MD, 21223","7/6/16",2016,"Southwest Baltimore"
"146","600 W UNIVERSITY PKWY, BALTIMORE, MD, 21210","7/8/16",2016,"Greater Roland Park/Poplar Hill"
"147","900 CALHOUN ST, MD, 21217","7/10/16",2016,"Sandtown-Winchester/Harlem Park"
"148","600 E PATAPSCO AVE, BALTIMORE, MD, 21225","7/10/16",2016,"Brooklyn/Curtis Bay/Hawkins Point"
"149","1800 W NORTH AVE, BALTIMORE, MD, 21217","7/10/16",2016,"Greater Mondawmin"
"150","1200 E FAYETTE ST, BALTIMORE, MD, 21202","7/10/16",2016,"Oldtown/Middle East"
"151","500 DOLPHIN ST, BALTIMORE, MD, 21217","7/11/16",2016,"Upton/Druid Heights"
"152","2800 ASHLAND AVE, BALTIMORE, MD, 21205","7/12/16",2016,"Madison/East End"
"153","3700 SAINT MARGARET ST, BALTIMORE, MD, 21225","7/13/16",2016,"Brooklyn/Curtis Bay/Hawkins Point"
"154","1500 N WASHINGTON ST, BALTIMORE, MD, 21213","7/13/16",2016,"Greenmount East"
"155","3100 FERNDALE AVE, BALTIMORE, MD, 21207","7/14/16",2016,"Howard Park/West Arlington"
"156","600 MAUDE AVE, BALTIMORE, MD, 21225","7/16/16",2016,"Brooklyn/Curtis Bay/Hawkins Point"
"157","1400 RETREAT ST, MD, 21217","7/16/16",2016,"Penn North/Reservoir Hill"
"158","700 MELLO CT, BALTIMORE, MD, 21205","7/18/16",2016,"Oldtown/Middle East"
"159","4800 MIDLINE ROAD, BALTIMORE, MD, 21206","7/18/16",2016,"Claremont/Armistead"
"160","3300 THE ALAMEDA, MD, 21218","7/18/16",2016,"The Waverlies"
"161","3400 OLD YORK ROAD, BALTIMORE, MD, 21218","7/19/16",2016,"The Waverlies"
